RUN	com.github.mnogu.gatling.kafka.test.ByteArraySimulation	bytearraysimulation	1620476017230	 	3.5.1
USER	Kafka Test	START	1620476017655
USER	Kafka Test	START	1620476017729
USER	Kafka Test	START	1620476018594
USER	Kafka Test	START	1620476018595
USER	Kafka Test	START	1620476018595
USER	Kafka Test	START	1620476018595
USER	Kafka Test	START	1620476017945
USER	Kafka Test	START	1620476018595
USER	Kafka Test	START	1620476017839
USER	Kafka Test	START	1620476018598
USER	Kafka Test	START	1620476018647
USER	Kafka Test	START	1620476018747
USER	Kafka Test	START	1620476018848
REQUEST		request	1620476017945	1620476018819	OK	 
REQUEST		request	1620476017667	1620476018858	OK	 
REQUEST		request	1620476017729	1620476018858	OK	 
REQUEST		request	1620476017839	1620476018858	OK	 
REQUEST		request	1620476018594	1620476018860	OK	 
REQUEST		request	1620476018594	1620476018860	OK	 
REQUEST		request	1620476018595	1620476018860	OK	 
REQUEST		request	1620476018595	1620476018860	OK	 
REQUEST		request	1620476018595	1620476018860	OK	 
REQUEST		request	1620476018598	1620476018860	OK	 
REQUEST		request	1620476018647	1620476018860	OK	 
REQUEST		request	1620476018747	1620476018860	OK	 
USER	Kafka Test	END	1620476018860
USER	Kafka Test	END	1620476018860
USER	Kafka Test	END	1620476018860
USER	Kafka Test	END	1620476018860
USER	Kafka Test	END	1620476018860
USER	Kafka Test	END	1620476018860
USER	Kafka Test	END	1620476018860
USER	Kafka Test	END	1620476018861
USER	Kafka Test	END	1620476018861
USER	Kafka Test	END	1620476018861
USER	Kafka Test	END	1620476018862
USER	Kafka Test	END	1620476018862
REQUEST		request	1620476018848	1620476018882	OK	 
USER	Kafka Test	END	1620476018883
USER	Kafka Test	START	1620476018950
REQUEST		request	1620476018950	1620476018972	OK	 
USER	Kafka Test	END	1620476018975
USER	Kafka Test	START	1620476019048
REQUEST		request	1620476019048	1620476019062	OK	 
USER	Kafka Test	END	1620476019062
USER	Kafka Test	START	1620476019149
REQUEST		request	1620476019149	1620476019170	OK	 
USER	Kafka Test	END	1620476019170
USER	Kafka Test	START	1620476019249
REQUEST		request	1620476019249	1620476019264	OK	 
USER	Kafka Test	END	1620476019265
USER	Kafka Test	START	1620476019349
REQUEST		request	1620476019349	1620476019368	OK	 
USER	Kafka Test	END	1620476019369
USER	Kafka Test	START	1620476019448
REQUEST		request	1620476019448	1620476019469	OK	 
USER	Kafka Test	END	1620476019469
USER	Kafka Test	START	1620476019549
REQUEST		request	1620476019549	1620476019572	OK	 
USER	Kafka Test	END	1620476019573
USER	Kafka Test	START	1620476019649
REQUEST		request	1620476019649	1620476019670	OK	 
USER	Kafka Test	END	1620476019671
USER	Kafka Test	START	1620476019724
REQUEST		request	1620476019724	1620476019748	OK	 
USER	Kafka Test	END	1620476019750
USER	Kafka Test	START	1620476019824
REQUEST		request	1620476019825	1620476019858	OK	 
USER	Kafka Test	END	1620476019861
USER	Kafka Test	START	1620476019926
REQUEST		request	1620476019926	1620476019947	OK	 
USER	Kafka Test	END	1620476019948
USER	Kafka Test	START	1620476020026
REQUEST		request	1620476020026	1620476020052	OK	 
USER	Kafka Test	END	1620476020054
USER	Kafka Test	START	1620476020127
REQUEST		request	1620476020127	1620476020150	OK	 
USER	Kafka Test	END	1620476020152
USER	Kafka Test	START	1620476020227
REQUEST		request	1620476020227	1620476020247	OK	 
USER	Kafka Test	END	1620476020250
USER	Kafka Test	START	1620476020327
REQUEST		request	1620476020327	1620476020351	OK	 
USER	Kafka Test	END	1620476020353
USER	Kafka Test	START	1620476020428
REQUEST		request	1620476020428	1620476020455	OK	 
USER	Kafka Test	END	1620476020458
USER	Kafka Test	START	1620476020528
REQUEST		request	1620476020528	1620476020555	OK	 
USER	Kafka Test	END	1620476020557
USER	Kafka Test	START	1620476020629
REQUEST		request	1620476020629	1620476020656	OK	 
USER	Kafka Test	END	1620476020658
USER	Kafka Test	START	1620476020724
REQUEST		request	1620476020724	1620476020743	OK	 
USER	Kafka Test	END	1620476020744
USER	Kafka Test	START	1620476020825
REQUEST		request	1620476020825	1620476020844	OK	 
USER	Kafka Test	END	1620476020847
USER	Kafka Test	START	1620476020925
REQUEST		request	1620476020925	1620476020944	OK	 
USER	Kafka Test	END	1620476020945
USER	Kafka Test	START	1620476021026
REQUEST		request	1620476021026	1620476021047	OK	 
USER	Kafka Test	END	1620476021048
USER	Kafka Test	START	1620476021127
REQUEST		request	1620476021127	1620476021148	OK	 
USER	Kafka Test	END	1620476021149
